x,y
0.02886572009036392,-0.001731943205421835
0.03141683887136881,-0.001885010332282129
0.03407417371093169,-0.002044450422655901
0.03683743320234178,-0.002210245992140507
0.03970631432305693,-0.002382378859383416
0.04268050246793276,-0.002560830148075965
0.04575967148372306,-0.002745580289023384
0.04894348370484647,-0.002936609022290788
0.05223158999041433,-0.00313389539942486
0.05562362976251889,-0.003337417785751133
0.05911923104577455,-0.003547153862746473
0.06271801050810843,-0.003763080630486506
0.06641957350279826,-0.003985174410167895
0.07022351411174854,-0.004213410846704913
0.07412941519000527,-0.004447764911400315
0.07813684841149948,-0.004688210904689969
0.08224537431601886,-0.004934722458961131
0.08645454235739913,-0.005187272541443948
0.09076389095293147,-0.005445833457175888
0.09517294753398042,-0.005710376852038825
0.09968122859780648,-0.005980873715868388
0.1042882397605871,-0.006257294385635226
0.1089934758116321,-0.006539608548697926
0.1137964207687853,-0.006827785246127115
0.1186965479350077,-0.007121792876100463
0.1236933199561364,-0.007421599197368184
0.1287861888798105,-0.007727171332788631
0.1339745962155613,-0.008038475772933677
0.1392579729960564,-0.008355478379763382
0.1446357398394933,-0.008678144390369597
0.150107307013136,-0.00900643842078816
0.1556720744979848,-0.009340324469879089
0.1613294320545759,-0.009679765923274557
0.1670787592899005,-0.01002472555739403
0.1729194257254382,-0.01037516554352629
0.178850790866296,-0.01073104745197776
0.1848722042714458,-0.01109233225628675
0.1909830056250525,-0.01145898033750315
0.1971825248088854,-0.01183095148853312
0.2034700819758036,-0.01220820491854822
0.2098449876243096,-0.01259069925745857
0.2163065426741602,-0.01297839256044961
0.2228540385430291,-0.01337124231258175
0.2294867572242107,-0.01376920543345264
0.2362039713653578,-0.01417223828192147
0.2430049443482435,-0.01458029666089461
0.2498889303695404,-0.01499333582217242
0.2568551745226056,-0.01541131047135634
0.2639029128802656,-0.01583417477281593
0.2710313725785884,-0.01626188235471531
0.2782397719016377,-0.01669438631409826
0.2855273203671966,-0.0171316392220318
0.2928932188134523,-0.01757359312880714
0.3003366594866345,-0.01802019956919807
0.3078568261295931,-0.01847140956777558
0.3154528940713113,-0.01892717364427867
0.3231240303173392,-0.01938744181904035
0.3308693936411418,-0.0198521636184685
0.3386881346763481,-0.02032128808058088
0.3465793960098944,-0.02079476376059366
0.3545423122760494,-0.02127253873656296
0.3625760102513101,-0.02175456061507861
0.3706796089501625,-0.02224077653700975
0.3788522197216896,-0.02273113318330137
0.3870929463470234,-0.0232255767808214
0.3954008851376251,-0.0237240531082575
0.4037751250343841,-0.02422650750206304
0.4122147477075268,-0.0247328848624516
0.420718827657321,-0.02524312965943926
0.4292864323155682,-0.02575718593893409
0.4379166221478693,-0.02627499732887216
0.4466084507566559,-0.02679650704539935
0.4553609649849728,-0.02732165789909837
0.4641732050210032,-0.02785039230126019
0.4730442045033223,-0.02838265227019934
0.4819729906268697,-0.02891837943761218
0.4909585842496286,-0.02945751505497771
0.4999999999999999,-0.02999999999999999
0.5090962463848591,-0.02945422521690845
0.5182463258982847,-0.02890522044610292
0.5274492351309459,-0.02835304589214325
0.5367039648801382,-0.02779776210719171
0.5460095002604533,-0.0272394299843728
0.5553648208150725,-0.02667811075109565
0.5647689006276723,-0.02611386596233966
0.5742207084349271,-0.02554675749390437
0.5837192077395986,-0.02497684753562408
0.5932633569241996,-0.02440419858454802
0.6028521093652193,-0.02382887343808684
0.6124844135478968,-0.02325093518712619
0.6221592131815328,-0.02267044720910803
0.6318754473153219,-0.02208747316108069
0.6416320504546996,-0.02150207697271802
0.6514279526781848,-0.02091432283930891
0.6612620797547085,-0.02032427521471749
0.6711333532614168,-0.01973199880431499
0.68104069070193,-0.0191375585578842
0.6909830056250525,-0.01854101966249685
0.7009592077439131,-0.01794244753536521
0.7109682030555282,-0.01734190781666831
0.7210088939607705,-0.01673946636235377
0.7310801793847341,-0.01613518923691595
0.741180954897479,-0.01552914270615126
0.751310112835145,-0.0149213932298913
0.761466542421419,-0.01431200745471486
0.7716491298893441,-0.01370105220663935
0.7818567586034573,-0.01308859448379256
0.7920883091822406,-0.01247470144906556
0.8023426596208737,-0.01185944042274758
0.8126186854142753,-0.01124287887514348
0.8229152596804166,-0.01062508441917501
0.8332312532838977,-0.01000612480296614
0.843565534959769,-0.009386067902413857
0.8539169714375882,-0.008764981713744711
0.8642844275656953,-0.008142934346058278
0.8746667664356955,-0.007519994013858268
0.8850628495071332,-0.006896229029572007
0.8954715367323464,-0.006271707796059218
0.9058916866814855,-0.005646498799110873
0.9163221566676844,-0.005020670599938938
0.9267618028723681,-0.004394291827657914
0.9372094804706865,-0.003767431171758808
0.947664043757056,-0.003140157374576637
0.9581243462708002,-0.002512539223751986
0.9685892409218716,-0.001884645544687704
0.9790575801166429,-0.001256545193001426
0.9895282158837542,-0.0006283070469747498
1,-0
